Run,Total,InjectedDupes,Stored,DetectedDupes,TimeHash(ms),BaselineDupes,BaselineTime(ms),TP,FP,FN,TN,Memory(KB),Collisions,LoadFactor
1,1000,59,941,59,175,59,20,59,0,0,941,8192,346,0.9410
2,1000,53,947,53,15,53,9,53,0,0,947,14336,322,0.9470
3,1000,40,960,40,10,40,10,40,0,0,960,18432,355,0.9600
4,1000,59,941,59,11,59,7,59,0,0,941,22528,339,0.9410
5,1000,42,958,42,12,42,5,42,0,0,958,4032,335,0.9580
6,1000,49,951,49,4,49,3,49,0,0,951,10176,329,0.9510
7,1000,49,951,49,5,49,3,49,0,0,951,14272,333,0.9510
8,1000,45,955,45,5,45,4,45,0,0,955,18368,337,0.9550
9,1000,46,954,46,5,46,4,46,0,0,954,22464,345,0.9540
10,1000,51,949,51,4,51,4,51,0,0,949,26560,339,0.9490
11,1000,45,955,45,7,45,4,45,0,0,955,4096,337,0.9550
12,1000,51,949,51,5,51,4,51,0,0,949,8192,327,0.9490
13,1000,64,936,64,6,64,4,64,0,0,936,12288,335,0.9360
14,1000,34,966,34,5,34,4,34,0,0,966,16384,337,0.9660
15,1000,57,943,57,6,57,3,57,0,0,943,20480,333,0.9430
16,1000,54,946,54,4,54,3,54,0,0,946,24576,340,0.9460
17,1000,60,940,60,5,60,3,60,0,0,940,28672,321,0.9400
18,1000,48,952,48,5,48,4,48,0,0,952,32768,355,0.9520
19,1000,47,953,47,6,47,3,47,0,0,953,36864,336,0.9530
20,1000,55,945,55,4,55,3,55,0,0,945,40960,341,0.9450
21,1000,66,934,66,5,66,3,66,0,0,934,45056,328,0.9340
22,1000,56,944,56,4,56,3,56,0,0,944,49152,342,0.9440
23,1000,47,953,47,6,47,4,47,0,0,953,53248,342,0.9530
24,1000,51,949,51,8,51,3,51,0,0,949,57344,341,0.9490
25,1000,70,930,70,4,70,6,70,0,0,930,2413,315,0.9300
26,1000,50,950,50,3,50,2,50,0,0,950,6509,328,0.9500
27,1000,53,947,53,3,53,2,53,0,0,947,10605,333,0.9470
28,1000,46,954,46,3,46,2,46,0,0,954,14701,346,0.9540
29,1000,54,946,54,3,54,2,54,0,0,946,18797,338,0.9460
30,1000,42,958,42,3,42,2,42,0,0,958,22893,315,0.9580
31,1000,47,953,47,3,47,2,47,0,0,953,26989,338,0.9530
32,1000,49,951,49,3,49,2,49,0,0,951,31085,353,0.9510
33,1000,64,936,64,2,64,2,64,0,0,936,35181,319,0.9360
34,1000,47,953,47,3,47,1,47,0,0,953,37229,339,0.9530
35,1000,51,949,51,2,51,2,51,0,0,949,41325,331,0.9490
